GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.semestral.gestion_direccion.service,DireccionService,2,409,3,21,0,103,3,20,0,11
,com.semestral.gestion_direccion.controller,DireccionController,0,62,0,0,0,14,0,6,0,6
